Marque;"Libellé modèle";Modèle;Groupe;"Description Commerciale";Energie;Carrosserie;Cylindrée;Gamme;"Puissance fiscale";"Puissance maximale";"Puissance nominale électrique";"Poids à vide";"Rapport poids-puissance";"Type de boite";"Nombre rapports";"Conso basse vitesse Min";"Conso basse vitesse Max";"Conso moyenne vitesse Min";"Conso moyenne vitesse Max";"Conso haute vitesse Min";"Conso haute vitesse Max";"Conso T-haute vitesse Min";"Conso T-haute vitesse Max";"Conso vitesse mixte Min";"Conso vitesse mixte Max";"Conso elec Min";"Conso elec Max";"Autonomie elec Min";"Autonomie elec Max";"Autonomie elec urbain Min";"Autonomie elec urbain Max";"CO2 basse vitesse Min";"CO2 basse vitesse Max";"CO2 moyenne vitesse Min";"CO2 moyenne vitesse Max";"CO2 haute vitesse Min";"CO2 haute vitesse Max";"CO2 T-haute vitesse Min";"CO2 T-haute vitesse Max";"CO2 vitesse mixte Min";"CO2 vitesse mixte Max";"Essai CO2 type 1";"Essai HC";"Essai Nox";"Essai HCNox";"Essai particules";"Masse OM Min";"Masse OM Max";Bonus-Malus;"Barème Bonus-Malus";"Prix véhicule"
RENAULT;KANGOO;KANGOO;RENAULT;"KANGOO (130ch)";ESSENCE;COMBISPACE;1332;INFERIEURE;7;96,000;;1519;0,06;AUTOMATIQUE;7;8,461;9,020;6,372;7,204;5,681;6,695;6,990;8,845;6,656;7,871;;;;;;;191,87;204,52;144,41;163,26;128,69;151,70;158,44;200,55;150,86;178,42;0,234;0,012;0,022;;0,001;1594;1594;Malus;1901;31000
MAZDA;MX-30;MX-30;AUTRES;"MX-30 E-SKYACTIV (145ch)";ELECTRIC;"TS TERRAINS/CHEMINS";0;INFERIEURE;6;;80,900;1645;0,01;"VARIATION ELECTRIQUE";0;;;;;;;;;;;;179,000;;200,000;;265,000;;;;;;;;;;;;;;;;1720;1720;"Bonus 6000";-6000;38510
DS;"DS 7 CROSSBACK";"7 CROSSBACK";STELLANTIS;"DS7 CROSSBACK e-tense 4x2 (225ch)";"ELEC+ESSENC HR";"TS TERRAINS/CHEMINS";1598;"MOYENNE SUPERIEURE";10;133,000;30,000;1760;0,08;AUTOMATIQUE;8;;;;;;;;;1,271;1,797;150,000;175,000;64,000;53,000;75,000;60,000;;;;;;;;;28,71;40,60;0,460;0,015;0,016;;0,001;1835;1835;"Neutre 0";;57560
RENAULT;AUSTRAL;AUSTRAL;RENAULT;"AUSTRAL (130ch+0Kw)";"ESS+ELEC HNR";"TS TERRAINS/CHEMINS";1199;"MOYENNE SUPERIEURE";7;96,000;0,000;1421;0,07;MECANIQUE;6;6,121;7,040;4,820;5,220;4,688;4,980;5,758;6,153;5,286;5,719;;;;;;;137,69;158,49;109,11;118,04;106,12;112,55;130,40;139,45;119,56;129,32;0,439;0,024;0,018;;0,000;1496;1496;"Neutre 0";11900;33000
B.M.W.;"SERIE 2";218;AUTRES;"218i Active Tourer";ESSENCE;"MONOSPACE COMPACT";1499;"MOYENNE INFERIEURE";7;100,000;;1470;0,07;AUTOMATIQUE;7;8,650;9,234;6,325;6,934;5,255;6,019;6,013;6,888;6,194;6,942;;;;;;;197,01;210,29;143,98;157,81;119,57;136,95;136,88;156,77;141,00;158,00;0,204;0,007;0,009;;0,000;1545;1545;Malus;400;36688
RENAULT;KADJAR;KADJAR;RENAULT;"KADJAR (140ch)";ESSENCE;"TS TERRAINS/CHEMINS";1332;"MOYENNE SUPERIEURE";7;103,000;;1353;0,08;MECANIQUE;6;7,768;8,147;5,980;6,408;5,364;5,794;6,545;7,153;6,229;6,714;;;;;;;175,91;184,50;135,37;145,05;121,40;131,11;148,17;161,94;141,00;152,00;0,162;0,015;0,013;;0,000;1428;1428;Malus;740;33500
SKODA;OCTAVIA;OCTAVIA;VGF;"OCTAVIA Berline 2.0 TDI (150ch) DSG7";GAZOLE;BERLINE;1968;"MOYENNE SUPERIEURE";8;110,000;;1386;0,08;AUTOMATIQUE;7;6,166;6,470;4,227;5,078;3,544;4,558;3,993;5,452;4,192;5,236;;;;;;;161,70;169,69;110,82;133,17;92,90;119,52;104,70;142,96;109,90;137,30;0,026;;0,028;0,037;0,000;1461;1461;"Neutre 0";;35218
B.M.W.;"SERIE X";X5;AUTRES;"X5 xDrive30d";"GAZ+ELEC HNR";"TS TERRAINS/CHEMINS";2993;LUXE;17;210,000;0,000;2190;0,10;AUTOMATIQUE;8;8,821;8,884;6,274;7,266;5,579;6,624;6,588;7,831;6,510;7,484;;;;;;;230,96;232,59;164,21;190,19;146,00;173,36;172,43;204,99;170,40;195,90;0,141;;0,045;0,063;0,001;2265;2265;Malus;16610;79017
JEEP;COMPASS;COMPASS;STELLANTIS;"1.3 GSE PHEV (240ch) AT6 4xe Trailhawk/S";"ELEC+ESSENC HR";"TS TERRAINS/CHEMINS";1332;"MOYENNE SUPERIEURE";10;132,000;44,000;1860;0,07;AUTOMATIQUE;6;;;;;;;;;1,843;2,047;160,400;167,500;48,800;46,300;51,900;52,500;;;;;;;;;43,84;47,67;0,326;0,033;0,019;;0,000;1935;1935;"Neutre 0";;50100
RENAULT;"ARKANA E-TECH";ARKANA;RENAULT;"ARKANA (94ch+24Kw)";"ESS+ELEC HNR";"TS TERRAINS/CHEMINS";1598;"MOYENNE INFERIEURE";5;69,000;24,000;1435;0,05;AUTOMATIQUE;6;4,828;5,047;4,274;4,370;4,246;4,471;5,612;5,871;4,814;5,024;;;;;;;109,03;114,22;96,44;98,86;95,79;101,14;126,84;132,95;108,70;113,70;0,383;0,020;0,003;;;1510;1510;"Neutre 0";11900;35656
RENAULT;ARKANA;ARKANA;RENAULT;"ARKANA (140ch+0Kw)";"ESS+ELEC HNR";"TS TERRAINS/CHEMINS";1332;"MOYENNE INFERIEURE";7;103,000;0,000;1336;0,08;AUTOMATIQUE;7;7,595;7,710;5,653;5,935;4,903;5,176;5,996;6,245;5,802;6,047;;;;;;;172,09;174,66;127,97;134,36;110,93;117,10;135,75;141,39;131,35;136,90;0,307;0,011;0,021;;0,000;1411;1411;Malus;11910;33288
MINI;MINI;CLUBMAN;B.M.W.;"MINI Cooper Clubman (F54)";ESSENCE;BREAK;1499;INFERIEURE;7;100,000;;1335;0,07;MECANIQUE;6;8,024;8,452;5,907;6,434;5,168;5,719;5,978;6,515;5,986;6,511;;;;;;;182,67;192,37;134,40;146,35;117,54;130,03;136,00;148,19;136,20;148,10;0,217;0,021;0,015;;0,000;1410;1410;Malus;260;34014
CITROEN;E-BERLINGO;BERLINGO;STELLANTIS;Ë-Berlingo;ELECTRIC;COMBISPACE;0;INFERIEURE;4;;57,000;1664;0,00;"VARIATION ELECTRIQUE";1;;;;;;;;;;;186,700;227,000;293,000;245,000;433,000;346,100;;;;;;;;;;;;;;;;1739;1739;"Bonus 4000";-6000;38150
NISSAN;QASHQAI;QASHQAI;NISSAN;"Mild Hybrid (158ch) Xtronic i-4x4 N-CONNECTA";"ESS+ELEC HNR";"TS TERRAINS/CHEMINS";1332;"MOYENNE SUPERIEURE";8;116,000;0,000;1457;0,08;"VARIATION CONTINUE";1;8,385;9,648;6,561;6,950;5,795;6,272;7,164;7,663;6,781;7,353;;;;;;;189,30;217,95;148,00;156,87;130,66;141,53;161,65;173,02;153,00;166,00;0,312;0,015;0,024;;0,000;1532;1532;Malus;11928;42920
