Marque,Libellé modèle,Modèle,Groupe,Description Commerciale,Energie,Carrosserie,Cylindrée,Gamme,Puissance fiscale,Puissance maximale,Puissance nominale électrique,Poids à vide,Rapport poids-puissance,Type de boite,Nombre rapports,Autonomie elec Min,Autonomie elec Max,Autonomie elec urbain Min,Autonomie elec urbain Max,Essai CO2 type 1,Essai HC,Essai Nox,Essai HCNox,Essai particules,Masse OM Min,Masse OM Max,Bonus-Malus,Barème Bonus-Malus,Prix véhicule,Conso basse vitesse Avg,Conso moyenne vitesse Avg,Conso haute vitesse Avg,Conso T-haute vitesse Avg,Conso vitesse mixte Avg,Conso elec Avg,CO2 basse vitesse Avg,CO2 moyenne vitesse Avg,CO2 haute vitesse Avg,CO2 T-haute vitesse Avg,CO2 vitesse mixte Avg
RENAULT,KANGOO,KANGOO,RENAULT,KANGOO (130ch),ESSENCE,COMBISPACE,1332,INFERIEURE,7,96.0,-1.0,1519,0.06,AUTOMATIQUE,7,-1.0,-1.0,-1.0,-1.0,0.234,0.012,0.022,-1.0,0.001,1594,1594,Malus,1901.0,31000,8.7405,6.788,6.188000000000001,7.9175,7.2635000000000005,-1.0,198.195,153.83499999999998,140.195,179.495,164.64
RENAULT,AUSTRAL,AUSTRAL,RENAULT,AUSTRAL (130ch+0Kw),ESS+ELEC HNR,TS TERRAINS/CHEMINS,1199,MOYENNE SUPERIEURE,7,96.0,0.0,1421,0.07,MECANIQUE,6,-1.0,-1.0,-1.0,-1.0,0.439,0.024,0.018,-1.0,0.0,1496,1496,Neutre 0,11900.0,33000,6.580500000000001,5.02,4.834,5.9555,5.5024999999999995,-1.0,148.09,113.575,109.33500000000001,134.925,124.44
B.M.W.,SERIE 2,218,AUTRES,218i Active Tourer,ESSENCE,MONOSPACE COMPACT,1499,MOYENNE INFERIEURE,7,100.0,-1.0,1470,0.07,AUTOMATIQUE,7,-1.0,-1.0,-1.0,-1.0,0.204,0.007,0.009,-1.0,0.0,1545,1545,Malus,400.0,36688,8.942,6.6295,5.6370000000000005,6.4505,6.568,-1.0,203.64999999999998,150.89499999999998,128.26,146.825,149.5
RENAULT,KADJAR,KADJAR,RENAULT,KADJAR (140ch),ESSENCE,TS TERRAINS/CHEMINS,1332,MOYENNE SUPERIEURE,7,103.0,-1.0,1353,0.08,MECANIQUE,6,-1.0,-1.0,-1.0,-1.0,0.162,0.015,0.013,-1.0,0.0,1428,1428,Malus,740.0,33500,7.9575,6.194000000000001,5.579,6.849,6.471500000000001,-1.0,180.20499999999998,140.21,126.25500000000001,155.055,146.5
SKODA,OCTAVIA,OCTAVIA,VGF,OCTAVIA Berline 2.0 TDI (150ch) DSG7,GAZOLE,BERLINE,1968,MOYENNE SUPERIEURE,8,110.0,-1.0,1386,0.08,AUTOMATIQUE,7,-1.0,-1.0,-1.0,-1.0,0.026,-1.0,0.028,0.037,0.0,1461,1461,Neutre 0,-1.0,35218,6.318,4.6525,4.051,4.7225,4.714,-1.0,165.695,121.99499999999999,106.21000000000001,123.83000000000001,123.60000000000001
B.M.W.,SERIE X,X5,AUTRES,X5 xDrive30d,GAZ+ELEC HNR,TS TERRAINS/CHEMINS,2993,LUXE,17,210.0,0.0,2190,0.1,AUTOMATIQUE,8,-1.0,-1.0,-1.0,-1.0,0.141,-1.0,0.045,0.063,0.001,2265,2265,Malus,16610.0,79017,8.8525,6.77,6.1015,7.2095,6.997,-1.0,231.775,177.2,159.68,188.71,183.15
RENAULT,ARKANA E-TECH,ARKANA,RENAULT,ARKANA (94ch+24Kw),ESS+ELEC HNR,TS TERRAINS/CHEMINS,1598,MOYENNE INFERIEURE,5,69.0,24.0,1435,0.05,AUTOMATIQUE,6,-1.0,-1.0,-1.0,-1.0,0.383,0.02,0.003,-1.0,-1.0,1510,1510,Neutre 0,11900.0,35656,4.9375,4.322,4.3585,5.7415,4.9190000000000005,-1.0,111.625,97.65,98.465,129.89499999999998,111.2
RENAULT,ARKANA,ARKANA,RENAULT,ARKANA (140ch+0Kw),ESS+ELEC HNR,TS TERRAINS/CHEMINS,1332,MOYENNE INFERIEURE,7,103.0,0.0,1336,0.08,AUTOMATIQUE,7,-1.0,-1.0,-1.0,-1.0,0.307,0.011,0.021,-1.0,0.0,1411,1411,Malus,11910.0,33288,7.6525,5.794,5.0395,6.1205,5.9245,-1.0,173.375,131.16500000000002,114.015,138.57,134.125
MINI,MINI,CLUBMAN,B.M.W.,MINI Cooper Clubman (F54),ESSENCE,BREAK,1499,INFERIEURE,7,100.0,-1.0,1335,0.07,MECANIQUE,6,-1.0,-1.0,-1.0,-1.0,0.217,0.021,0.015,-1.0,0.0,1410,1410,Malus,260.0,34014,8.238,6.1705000000000005,5.4435,6.246499999999999,6.2485,-1.0,187.51999999999998,140.375,123.785,142.095,142.14999999999998
NISSAN,QASHQAI,QASHQAI,NISSAN,Mild Hybrid (158ch) Xtronic i-4x4 N-CONNECTA,ESS+ELEC HNR,TS TERRAINS/CHEMINS,1332,MOYENNE SUPERIEURE,8,116.0,0.0,1457,0.08,VARIATION CONTINUE,1,-1.0,-1.0,-1.0,-1.0,0.312,0.015,0.024,-1.0,0.0,1532,1532,Malus,11928.0,42920,9.0165,6.7555,6.0335,7.4135,7.067,-1.0,203.625,152.435,136.095,167.335,159.5
